file,genre,ourKeyCamelot,ourConf,essentiaEdma,essentiaEdmaStrength,essentiaBgate,essentiaBgateStrength,relationship,agree
"//nas/music/GENRES\House\AXMO - I Remember The Time Of My Life (Extended Mix).mp3",House,,,9A,0.9448,9A,0.9169,n/a,no
"//nas/music/GENRES\House\Abi_Flynn__Cristiano_Fry__Axxima-So_Into_You__Remixes_-Kevin_McDaid_Remix-78997906.mp3",House,5A,0.0255,5A,0.8249,5A,0.8694,exact,yes
"//nas/music/GENRES\House\Adam Ten - Magic Circus (Original Mix).aiff",House,4A,0.0289,4A,0.9346,4A,0.9333,exact,yes
"//nas/music/GENRES\House\Adam Ten, Asulin - Warawara (Hot Since 82 Remix).mp3",House,9A,0.0199,12B,0.8589,12B,0.8194,parallel,no
"//nas/music/GENRES\Future_House\9INE6IX - Baam (Original Mix).mp3",Future_House,4A,0.0183,11A,0.8936,11A,0.8383,semitone,no
"//nas/music/GENRES\Future_House\A Touch Of Class, R3HAB - All Around The World (La La La) (La La La).aiff",Future_House,8A,0.0151,8A,0.9473,8A,0.9371,exact,yes
"//nas/music/GENRES\Future_House\Achilles (OZ) - Reaching for the Moon (Extended Mix)_pn.mp3",Future_House,8A,0.0385,8A,0.9244,8A,0.8831,exact,yes
"//nas/music/GENRES\Future_House\Adam Beyer - Close Your Eyes (Original Mix).mp3",Future_House,8A,0.0274,8A,0.9478,8A,0.8966,exact,yes
"//nas/music/GENRES\Future_House\Adam Beyer - We Don't Say Please (Original Mix).mp3",Future_House,11A,0.0224,9B,0.9327,6A,0.8910,semitone,no
"//nas/music/GENRES\Trance\3LMT - Amazon (Original Mix).mp3",Trance,7A,0.0156,10B,0.9198,10B,0.8434,parallel,no
"//nas/music/GENRES\Trance\AIROD - No Lover (Extended Mix).mp3",Trance,1A,0.0218,4B,0.8559,1A,0.8201,parallel,no
"//nas/music/GENRES\Trance\Afem Syko - Everything With You (Extended Mix).mp3",Trance,5A,0.0428,5A,0.9151,5A,0.9106,exact,yes
"//nas/music/GENRES\Trance\Alchimyst, Dechen - Karuna feat. Dechen (Original Mix).mp3",Trance,12A,0.0403,12A,0.9113,12A,0.9258,exact,yes
"//nas/music/GENRES\Trance\Ale Power - Your Movie (Original Mix).mp3",Trance,6A,0.0196,4B,0.8680,4B,0.8678,semitone,no
"//nas/music/GENRES\EDM\22Bullets, Junior - Chasing (Extended Mix).mp3",EDM,2A,0.0444,2A,0.9653,2A,0.9406,exact,yes
"//nas/music/GENRES\EDM\50 Cent - Candy Shop (Kev Lavigne Remix).mp3",EDM,11A,0.0278,11A,0.8800,11A,0.8359,exact,yes
"//nas/music/GENRES\EDM\50 Cent - Just A Lil Bit (Tom Enzy, Eran Hersh Remix).mp3",EDM,4A,0.0236,4A,0.8925,4A,0.8415,exact,yes
"//nas/music/GENRES\EDM\50 Cent x Riton - Candy Shop x Sugar (DJ Arman Aveiru Edit).mp3",EDM,11A,0.0307,2B,0.8195,11A,0.7647,parallel,no
"//nas/music/GENRES\EDM\666 - Rhythm Takes Control (Extended Mix By Fuvi Clan).mp3",EDM,3A,0.0362,3A,0.8493,3A,0.8898,exact,yes
"//nas/music/GENRES\EDM\666 - Salute ! (Extended Mix By Fuvi Clan).mp3",EDM,4A,0.0450,4A,0.9768,4A,0.9484,exact,yes
